Video_File,Target_Class,Original_Action,Original_Action_En,Frame_In,Frame_Out,Duration_Frames
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,143825,144900,1075
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,143825,144900,1075
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],145800,146450,650
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],145800,146450,650
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],151800,152475,675
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],155950,156850,900
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",foul [straddle / tackling],Foul [Grätsche / Tackling],foul [straddle / tackling],157875,158800,925
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Erfolgreiche Defensivaktion [Gegenspieler vom Ball getrennt],defensive action [opponents separated from the ball],176575,177475,900
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,177600,178375,775
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Torschuss / Torchance,shot at goal,185375,186125,750
"SOK - PGM, International HD - 1. BL 2025-2026 7. Spieltag FC Bayern München vs. Borussia Dortmund-013.mp4",None,Parade,save,185450,186125,675
